"","sex","agedays","age","t1","t2","t3","t4","d1","d2","d3","d4"
"1",1,2531,6,2,3,2,2,0,1,0,0
"2",1,2583,7,2,2,1,3,0,0,1,1
"3",1,2582,7,2,2,2,2,0,0,0,0
"4",1,2379,6,2,2,2,2,0,0,0,0
"5",1,2408,6,2,2,2,2,0,0,0,0
"6",1,1967,5,2,2,2,2,0,0,0,0
"7",2,2652,7,2,2,2,2,0,0,0,0
"8",2,2566,7,2,2,2,2,0,0,0,0
"9",2,2444,6,2,2,2,2,0,0,0,0
"10",2,2413,6,2,3,3,2,0,1,0,0
"11",2,2338,6,2,2,2,2,0,0,0,0
"12",1,2733,7,2,2,2,2,0,0,0,0
"13",1,3304,9,2,2,2,2,0,0,0,0
"14",1,2969,8,2,2,2,2,0,0,0,0
"15",1,2965,8,2,2,2,2,0,0,0,0
"16",1,2930,8,2,2,2,2,0,0,0,0
"17",1,2778,7,2,2,2,2,0,0,0,0
"18",1,2779,7,2,2,2,2,0,0,0,0
"19",2,3043,8,2,2,2,2,0,0,0,0
"20",2,2993,8,2,2,2,2,0,0,0,0
"21",2,2814,7,2,2,2,2,0,0,0,0
"22",2,2742,7,2,2,2,2,0,0,0,0
"23",1,3338,9,1,3,1,3,1,1,1,1
"24",1,3604,9,1,3,1,3,1,1,1,1
"25",1,3453,9,2,2,2,2,0,0,0,0
"26",1,3236,8,2,2,2,2,0,0,0,0
"27",2,3260,8,2,2,2,2,0,0,0,0
"28",2,3189,8,1,3,1,3,1,1,1,1
"29",1,3875,10,2,3,2,2,0,1,0,0
"30",1,3532,9,2,2,2,2,0,0,0,0
"31",1,3726,10,2,2,2,2,0,0,0,0
"32",1,3548,9,1,3,1,3,1,1,1,1
"33",1,3618,9,1,3,1,3,1,1,1,1
"34",1,3588,9,2,2,2,2,0,0,0,0
"35",1,3895,10,1,3,1,3,1,1,1,1
"36",1,3669,10,1,3,1,3,1,1,1,1
"37",2,3673,10,1,3,1,3,1,1,1,1
"38",2,3447,9,1,3,1,3,1,1,1,1
"39",2,3650,9,2,2,3,2,0,0,0,0
"40",2,3494,9,1,3,2,3,1,1,0,1
"41",2,3479,9,2,2,2,2,0,0,0,0
"42",2,3522,9,1,3,1,3,1,1,1,1
"43",2,3542,9,1,3,1,3,1,1,1,1
"44",2,4058,11,1,3,1,3,1,1,1,1
"45",2,3644,9,1,2,2,3,1,0,0,1
"46",2,3663,10,2,2,2,2,0,0,0,0
"47",2,3645,9,2,2,2,2,0,0,0,0
"48",2,3690,10,1,2,1,3,1,0,1,1
