"","mode","price.beach","price.pier","price.boat","price.charter","catch.beach","catch.pier","catch.boat","catch.charter","income"
"1","charter",157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7083.3317
"2","charter",15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1249.9998
"3","boat",161.874,161.874,24.334,59.334,0.5333,0.4522,0.2413,1.0266,3749.9999
"4","pier",15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2083.3332
"5","boat",106.93,106.93,41.514,71.014,0.0678,0.0503,0.1082,0.324,4583.332
"6","charter",192.474,192.474,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4583.332
"7","beach",51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8750.001
"8","charter",15.134,15.134,21.714,56.714,0.0678,0.0789,0.0102,0.0209,2083.3332
"9","boat",34.914,34.914,34.914,53.414,0.2537,0.1498,0.0233,0.0219,3749.9999
"10","boat",28.314,28.314,28.314,46.814,0.2537,0.1498,0.0233,0.0219,2916.6666
"11","pier",34.914,34.914,24.334,48.334,0.1049,0.0451,0.1574,0.4671,3749.9999
"12","boat",312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7083.3317
"13","pier",17.862,17.862,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1249.9998
"14","pier",15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2083.3332
"15","beach",74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8750.001
"16","pier",33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5416.6667
"17","beach",48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667
"18","pier",33.462,33.462,7.722,31.722,0.1049,0.0079,0.0613,0.3087,2916.6666
"19","boat",211.344,211.344,11.322,46.322,0.5333,0.0069,0.0361,0.4216,4583.332
"20","boat",49.062,49.062,11.322,35.322,0.1049,0.0451,0.1574,0.4671,4583.332
"21","charter",345.744,345.744,18.522,53.522,0.5333,0.4522,0.0156,0.0058,7916.6663
"22","charter",88.062,88.062,20.322,44.322,0.1049,0.0451,0.0023,0.0046,8750.001
"23","boat",100.674,100.674,15.134,50.134,0.5333,0.4522,0.1665,0.3975,2083.3332
"24","charter",28.314,28.314,19.734,43.734,0.1049,0.0079,0.0613,0.3087,2916.6666
"25","charter",33.462,33.462,34.32,69.32,0.0678,0.0789,0.0559,0.6456,2916.6666
"26","beach",67.784,67.784,17.862,52.862,0.5333,0.4522,0.2413,1.0266,1249.9998
"27","pier",50.32,50.32,49.062,73.062,0.1049,0.0451,0.1574,0.4671,4583.332
"28","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317
"29","charter",70.074,70.074,10.534,45.534,0.5333,0.4522,0.0156,0.0058,1249.9998
"30","charter",131.274,131.274,19.734,54.734,0.5333,0.4522,0.0156,0.0058,2916.6666
"31","charter",28.314,28.314,19.734,43.734,0.1049,0.0451,0.0023,0.0046,2916.6666
"32","charter",49.062,49.062,11.322,35.322,0.1049,0.0079,0.0613,0.3087,4583.332
"33","boat",33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666
"34","beach",9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3749.9999
"35","pier",25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332
"36","charter",144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666
"37","pier",120.004,120.004,252.64,281.64,0.0678,0.0789,0.0014,0.0029,12499.998
"38","boat",25.648,25.648,80.608,105.608,0.2537,0.1498,0.0531,0.0052,1249.9998
"39","charter",115.808,115.808,25.004,60.004,0.5333,0.4522,0.0156,0.0058,2083.3332
"40","pier",32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2916.6666
"41","boat",10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666
"42","charter",10.296,10.296,54.912,89.912,0.0678,0.0789,0.0897,1.0905,2916.6666
"43","boat",231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4583.332
"44","charter",59.248,59.248,186.208,211.208,0.2537,0.1498,0.7369,2.3101,3749.9999
"45","charter",231.472,231.472,15.096,50.096,0.5333,0.4522,0.2413,1.0266,4583.332
"46","pier",19.896,19.896,89.532,118.532,0.0678,0.0789,0.0014,0.0029,6250.0013
"47","charter",341.872,341.872,22.296,57.296,0.5333,0.4522,0.2413,1.0266,7083.3317
"48","charter",80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998
"49","beach",24.334,24.334,89.93,118.93,0.0678,0.0789,0.1643,0.5391,3749.9999
"50","beach",11.322,11.322,93.092,122.092,0.0678,0.0789,0.1643,0.5391,4583.332
"51","charter",177.744,177.744,9.522,44.522,0.5333,0.4522,0.0156,0.0058,3749.9999
"52","pier",5.922,5.922,48.692,77.692,0.0678,0.0789,0.1643,0.5391,2083.3332
"53","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999
"54","boat",70.074,70.074,10.534,45.534,0.5333,0.0069,0.0361,0.4216,1249.9998
"55","charter",41.514,41.514,28.934,52.934,0.1049,0.0079,0.0613,0.3087,4583.332
"56","charter",21.714,21.714,15.134,39.134,0.1049,0.0451,0.0023,0.0046,2083.3332
"57","charter",144.144,144.144,7.722,42.722,0.5333,0.4522,0.0156,0.0058,2916.6666
"58","boat",25.662,25.662,5.922,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332
"59","boat",244.944,244.944,13.122,48.122,0.5333,0.4522,0.0156,0.0058,5416.6667
"60","charter",144.144,144.144,7.722,42.722,0.5333,0.4522,0.2413,1.0266,2916.6666
"61","pier",5.922,5.922,48.692,77.692,0.0678,0.0789,0.0014,0.0029,2083.3332
"62","pier",93.092,93.092,93.092,118.092,0.0678,0.0503,0.2601,0.5391,4583.332
"63","charter",177.744,177.744,9.522,44.522,0.5333,0.0069,0.0361,0.4216,3749.9999
"64","boat",41.262,41.262,9.522,33.522,0.1049,0.0451,0.1574,0.4671,3749.9999
"65","pier",9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999
"66","charter",76.944,76.944,4.122,39.122,0.5333,0.4522,0.2413,1.0266,1249.9998
"67","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999
"68","charter",177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999
"69","boat",244.944,244.944,13.122,48.122,0.5333,0.4522,0.2413,1.0266,5416.6667
"70","pier",33.462,33.462,7.722,31.722,0.1049,0.0451,0.1574,0.4671,2916.6666
"71","boat",33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666
"72","charter",5.922,5.922,25.662,60.662,0.0678,0.0789,0.0102,0.0209,2083.3332
"73","charter",345.744,345.744,18.522,53.522,0.5333,0.4522,0.1665,0.3975,7916.6663
"74","boat",244.944,244.944,13.122,48.122,0.5333,0.0069,0.0361,0.4216,5416.6667
"75","boat",64.662,64.662,14.922,38.922,0.1049,0.0451,0.0023,0.0046,6250.0013
"76","beach",9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999
"77","beach",24.696,24.696,111.132,140.132,0.0678,0.0789,0.1643,0.5391,7916.6663
"78","boat",33.892,33.892,33.892,58.892,0.0678,0.0503,0.2601,0.5391,1249.9998
"79","charter",144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666
"80","boat",110.544,110.544,5.922,40.922,0.5333,0.4522,0.2413,1.0266,2083.3332
"81","charter",76.944,76.944,4.122,39.122,0.5333,0.4522,0.0156,0.0058,1249.9998
"82","beach",7.722,7.722,63.492,92.492,0.0678,0.0789,0.0014,0.0029,2916.6666
"83","boat",177.744,177.744,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999
"84","boat",17.862,17.862,4.122,28.122,0.1049,0.0451,0.1574,0.4671,1249.9998
"85","charter",33.462,33.462,33.462,51.962,0.2537,0.0014,0.0626,0.2773,2916.6666
"86","boat",8.514,8.514,39.474,64.474,0.2537,0.1498,0.6817,2.3014,416.66668
"87","charter",38.134,38.134,54.714,89.714,0.0678,0.0789,0.0559,0.6456,6250.0013
"88","boat",24.334,24.334,34.914,69.914,0.0678,0.0789,0.0897,1.0905,3749.9999
"89","pier",100.674,100.674,15.134,50.134,0.5333,0.4522,0.2413,1.0266,2083.3332
"90","pier",104.214,104.214,104.214,122.714,0.2537,0.1498,0.2339,0.6288,12499.998
"91","charter",161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999
"92","charter",48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667
"93","boat",64.662,64.662,66.32,101.32,0.0678,0.0789,0.0102,0.0209,6250.0013
"94","charter",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0102,0.0209,7083.3317
"95","boat",422.984,422.984,111.462,146.462,0.5333,0.4522,0.0051,1.0266,11250.001
"96","charter",56.862,56.862,58.32,93.32,0.0678,0.0789,0.0102,0.0209,5416.6667
"97","boat",72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317
"98","charter",210.566,210.566,49.74,79.24,0.0678,0.0052,0.0732,0.1726,6250.0013
"99","pier",43.74,43.74,52.488,70.988,0.2537,0.1498,0.2339,0.6288,5416.6667
"100","beach",31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999
"101","beach",19.74,19.74,23.688,42.188,0.2537,0.1498,0.2339,0.6288,2083.3332
"102","pier",31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999
"103","charter",55.77,55.77,25.74,60.74,0.0678,0.0025,0.0108,0.2377,2916.6666
"104","charter",42.77,42.77,19.74,54.74,0.0678,0.0789,0.0559,0.6456,2083.3332
"105","charter",261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663
"106","charter",268.702,268.702,146.77,181.77,0.5333,0.4522,0.1665,0.3975,8750.001
"107","charter",55.74,55.74,221.102,246.102,0.2537,0.1498,0.6817,2.3014,7083.3317
"108","charter",159.766,159.766,37.74,67.24,0.0678,0.0052,0.0732,0.1726,4583.332
"109","pier",16.77,16.77,32.766,61.766,0.0678,0.0789,0.1643,0.5391,416.66668
"110","boat",125.902,125.902,68.77,103.77,0.5333,0.4522,0.2413,1.0266,3749.9999
"111","boat",56.862,56.862,58.32,93.32,0.0678,0.0025,0.0108,0.2377,5416.6667
"112","charter",25.662,25.662,26.32,61.32,0.0678,0.0025,0.0108,0.2377,2083.3332
"113","charter",46.258,46.258,18.32,47.82,0.0678,0.0052,0.0732,0.1726,1249.9998
"114","beach",42.32,42.32,42.32,60.82,0.2537,0.1498,0.0233,0.0219,3749.9999
"115","charter",64.662,64.662,66.32,101.32,0.0678,0.0789,0.0559,0.6456,6250.0013
"116","charter",42.32,42.32,41.262,65.262,0.1049,0.0451,0.1574,0.4671,3749.9999
"117","boat",58.32,58.32,58.32,76.82,0.2537,0.1498,0.0233,0.0219,5416.6667
"118","charter",77.234,77.234,73.002,108.002,0.0678,0.0789,0.0102,0.0209,3749.9999
"119","charter",150.15,150.15,62.634,97.634,0.5333,0.4522,0.2413,1.0266,2916.6666
"120","charter",135.634,135.634,267.552,296.552,0.0678,0.0789,0.1643,0.0041,7083.3317
"121","beach",73.002,73.002,73.002,91.502,0.2537,0.1498,0.2339,0.6288,3749.9999
"122","boat",205.27,205.27,94.74,129.74,0.0678,0.0789,0.0897,1.0905,12499.998
"123","charter",55.77,55.77,25.74,60.74,0.0678,0.0789,0.0897,1.0905,2916.6666
"124","beach",61.74,61.74,74.088,92.588,0.2537,0.1498,0.2339,0.6288,7916.6663
"125","boat",120.77,120.77,55.74,90.74,0.0678,0.0789,0.0102,0.0209,7083.3317
"126","charter",146.77,146.77,67.74,102.74,0.0678,0.0789,0.0102,0.0209,8750.001
