"","hsgpa","hsengl","hscalc","course","passed","outcome"
"1",78,80,"Yes","Mainstrm","No","Failed"
"2",66,75,"Yes","Mainstrm","Yes","Passed"
"3",80.2,70,"Yes","Mainstrm","Yes","Passed"
"4",81.7,67,"Yes","Mainstrm","Yes","Passed"
"5",86.8,80,"Yes","Mainstrm","Yes","Passed"
"6",76.7,75,"Yes","Mainstrm","Yes","Passed"
"7",85.8,81,"Yes","Mainstrm","Yes","Passed"
"8",73,77,"Yes","Mainstrm","No","Failed"
"9",72.3,60,"Yes","Mainstrm","No","Failed"
"10",90.3,88,"Yes","Mainstrm","Yes","Passed"
"11",91,91,"Yes","Mainstrm","Yes","Passed"
"12",72.8,74,"Yes","Mainstrm","No","Disappeared"
"13",82.5,85,"Yes","Mainstrm","Yes","Passed"
"14",91.5,81,"Yes","Mainstrm","Yes","Passed"
"15",78.3,74,"Yes","Mainstrm","Yes","Passed"
"16",80.7,78,"Yes","Mainstrm","Yes","Passed"
"17",88.3,85,"Yes","Mainstrm","Yes","Passed"
"18",76.8,64,"Yes","Mainstrm","Yes","Passed"
"19",73.8,60,"Yes","Mainstrm","No","Disappeared"
"20",87.3,90,"Yes","Elite","Yes","Passed"
"21",74.3,70,"Yes","Mainstrm","Yes","Passed"
"22",81.8,80,"Yes","Mainstrm","Yes","Passed"
"23",82.5,83,"Yes","Mainstrm","Yes","Passed"
"24",83.5,67,"Yes","Mainstrm","No","Disappeared"
"25",75.5,78,"Yes","Mainstrm","No","Failed"
"26",73.5,50,"Yes","Elite","Yes","Passed"
"27",82,73,"Yes","Mainstrm","Yes","Passed"
"28",74.5,65,"Yes","Mainstrm","No","Disappeared"
"29",69,62,"Yes","Elite","No","Failed"
"30",75,66,"Yes","Elite","Yes","Passed"
"31",75.5,72,"Yes","Mainstrm","No","Disappeared"
"32",78.7,54,"Yes","Mainstrm","Yes","Passed"
"33",65,67,"Yes","Mainstrm","No","Disappeared"
"34",83.3,85,"Yes","Mainstrm","Yes","Passed"
"35",72.2,76,"Yes","Catch-up","No","Failed"
"36",71.5,63,"Yes","Mainstrm","No","Disappeared"
"37",80.5,82,"Yes","Catch-up","Yes","Passed"
"38",93.5,57,"Yes","Elite","Yes","Passed"
"39",78.8,67,"Yes","Mainstrm","Yes","Passed"
"40",75.8,81,"Yes","Mainstrm","No","Failed"
"41",90.2,80,"Yes","Mainstrm","Yes","Passed"
"42",91.5,88,"Yes","Mainstrm","Yes","Passed"
"43",78.2,71,"Yes","Mainstrm","No","Disappeared"
"44",80,82,"Yes","Mainstrm","Yes","Passed"
"45",69,61,"No","Catch-up","No","Disappeared"
"46",77.2,70,"Yes","Mainstrm","No","Disappeared"
"47",75.2,67,"Yes","Mainstrm","No","Failed"
"48",70.8,57,"Yes","Mainstrm","No","Disappeared"
"49",78.5,74,"Yes","Mainstrm","Yes","Passed"
"50",73.2,67,"No","Catch-up","No","Disappeared"
"51",80,73,"Yes","Mainstrm","No","Failed"
"52",72.3,72,"Yes","Mainstrm","Yes","Passed"
"53",72.8,80,"Yes","Mainstrm","Yes","Passed"
"54",78.3,72,"Yes","Mainstrm","No","Disappeared"
"55",70.8,74,"Yes","Mainstrm","No","Disappeared"
"56",76.7,83,"No","Catch-up","No","Disappeared"
"57",88.3,85,"Yes","Mainstrm","Yes","Passed"
"58",79.7,70,"Yes","Mainstrm","Yes","Passed"
"59",76,75,"Yes","Mainstrm","No","Disappeared"
"60",78.5,80,"Yes","Mainstrm","No","Failed"
"61",84.7,77,"Yes","Mainstrm","No","Disappeared"
